,Country/Region,Date,Province/State,Confirmed,Deaths,Recovered,GDP,Unemployment,CPI
124,Guatemala,2021-01-01,0,138236.0,4820.0,126606.0,86053083476.0294,2.174,153.80123012521
125,Guatemala,2022-01-01,0,628589.0,16108.0,0.0,95003330315.8754,3.051,164.390642043944
126,Guinea,2021-01-01,0,13738.0,81.0,13153.0,16091817842.1318,5.767,327.371054687123
127,Guinea,2022-01-01,0,32448.0,391.0,0.0,20999229260.4995,5.328,361.722233672476
128,Guinea-Bissau,2021-01-01,0,2452.0,45.0,2397.0,1724555634.36594,3.628,116.559575493745
129,Guinea-Bissau,2022-01-01,0,6484.0,149.0,0.0,1714166526.44573,3.204,127.508994091945
130,Guyana,2021-01-01,0,6348.0,164.0,5868.0,8041362110.31175,14.927,123.251485665774
131,Guyana,2022-01-01,0,39779.0,1054.0,0.0,14718388489.2086,12.423,130.788382420166
132,Haiti,2021-01-01,0,10015.0,236.0,8624.0,20877414952.6375,15.253,305.355546890834
133,Haiti,2022-01-01,0,26213.0,773.0,0.0,20253551920.5516,14.719,409.127368142819
134,Honduras,2021-01-01,0,122974.0,3160.0,56936.0,28144331506.6149,7.94,162.529327177779
135,Honduras,2022-01-01,0,379402.0,10433.0,0.0,31426041806.7985,7.037,177.302656474684
136,Hungary,2021-01-01,0,325278.0,9667.0,157063.0,182109999477.691,4.045,132.112676056338
137,Hungary,2022-01-01,0,1256415.0,39186.0,0.0,177006128624.627,3.609,151.411885949845
138,Iceland,2021-01-01,0,5754.0,29.0,5578.0,25797870984.2963,6.029,138.573742998267
139,Iceland,2022-01-01,0,27059.0,37.0,0.0,28701830401.6837,3.789,150.087495958498
140,India,2021-01-01,0,10305788.0,149218.0,9929568.0,3167270623260.52,6.38,192.378724699015
141,India,2022-01-01,0,34889132.0,481770.0,0.0,3353470496885.95,4.822,205.266241146235
142,Indonesia,2021-01-01,0,751270.0,22329.0,617936.0,1186509691086.73,3.827,156.484590188327
143,Indonesia,2022-01-01,0,4262994.0,144096.0,0.0,1319076267310.16,3.462,163.071752418121
144,Iraq,2021-01-01,0,596193.0,12824.0,539817.0,209691945713.103,16.173,127.574201605207
145,Iraq,2022-01-01,0,2093891.0,24163.0,0.0,286640340965.517,15.588,133.946234405587
146,Ireland,2021-01-01,0,93532.0,2248.0,23364.0,513391778882.86,6.194,108.7002317253
147,Ireland,2022-01-01,0,811840.0,5912.0,0.0,533140011838.276,4.479,117.210870023173
148,Israel,2021-01-01,0,428510.0,3356.0,379910.0,488526545878.891,4.812,109.144430728326
149,Israel,2022-01-01,0,1390053.0,8244.0,0.0,525002447652.773,3.695,113.939796790428
150,Italy,2021-01-01,0,2129376.0,74621.0,1479988.0,2154875493744.93,9.497,112.541250526224
151,Italy,2022-01-01,0,6266939.0,137513.0,0.0,2066972096553.7,8.069,121.771084752039
152,Jamaica,2021-01-01,0,12915.0,303.0,10532.0,14657586159.4316,5.188,181.00906404486
153,Jamaica,2022-01-01,0,94649.0,2476.0,0.0,17097760686.7775,4.083,199.742721733243
154,Japan,2021-01-01,0,239005.0,3541.0,193558.0,5034620784584.98,2.828,105.211812269292
155,Japan,2022-01-01,0,1733835.0,18392.0,0.0,4256410760723.75,2.6,107.839690631042
156,Jordan,2021-01-01,0,295765.0,3851.0,271834.0,46296100140.8451,19.837,127.719016475095
157,Jordan,2022-01-01,0,1064277.0,12684.0,0.0,48653381830.9859,18.2,133.120452526249
158,Kazakhstan,2021-01-01,0,202060.0,2749.0,176774.0,197112255360.612,5.556,218.265731563044
159,Kazakhstan,2022-01-01,0,1072999.0,18211.0,0.0,225496328925.494,4.86,251.066409830229
160,Kenya,2021-01-01,0,96614.0,1681.0,78802.0,109703658904.994,5.693,212.472085832078
161,Kenya,2022-01-01,0,297155.0,5381.0,0.0,113419826113.903,5.805,228.747155845931
162,Kiribati,2021-01-01,0,0.0,0.0,0.0,289207526.306617,5.805,105.218806716601
163,Kiribati,2022-01-01,0,2.0,0.0,0.0,270520731.599041,5.805,105.218806716601
164,Kosovo,2021-01-01,0,51502.0,1336.0,41854.0,9413403724.01899,5.805,122.267091891806
165,Kosovo,2022-01-01,0,161531.0,2991.0,0.0,9354903061.8898,5.805,136.426245250384
166,Kuwait,2021-01-01,0,150869.0,936.0,146777.0,141777271268.694,2.997,133.68779685455
167,Kuwait,2022-01-01,0,417723.0,2468.0,0.0,182809482400.924,2.124,139.009439631897
168,Latvia,2021-01-01,0,41615.0,644.0,29018.0,39443126174.4335,7.513,120.949398596532
169,Latvia,2022-01-01,0,276841.0,4577.0,0.0,40422521943.4418,6.815,141.886081804437
170,Lebanon,2021-01-01,0,183888.0,1479.0,127959.0,23131941556.7843,12.621,612.355015021184
171,Lebanon,2022-01-01,0,731288.0,9136.0,0.0,20992421948.8081,11.599,1660.74042721277
172,Lesotho,2021-01-01,0,3206.0,51.0,1496.0,2406780518.52811,18.129,173.512105268925
173,Lesotho,2022-01-01,0,29652.0,671.0,0.0,2289355249.40148,16.668,187.864686358543
174,Liberia,2021-01-01,0,1800.0,83.0,1406.0,3513049520.0,3.792,187.864686358543
175,Liberia,2022-01-01,0,6278.0,287.0,0.0,4001047000.0,2.99,187.864686358543
176,Libya,2021-01-01,0,100744.0,1487.0,73252.0,47786789103.8172,19.595,260.082820215574
177,Libya,2022-01-01,0,388734.0,5710.0,0.0,55938727098.0174,19.319,271.813339537122
178,Liechtenstein,2021-01-01,0,2245.0,44.0,1810.0,7710380085.92257,19.319,271.813339537122
179,Liechtenstein,2022-01-01,0,6167.0,69.0,0.0,7364654515.13984,19.319,271.813339537122
180,Lithuania,2021-01-01,0,147862.0,1841.0,98149.0,66798933785.7702,7.112,125.413564341792
181,Lithuania,2022-01-01,0,526628.0,7412.0,0.0,71013953448.2085,5.956,150.12636507601
182,Luxembourg,2021-01-01,0,46415.0,495.0,40978.0,85584105993.8746,5.247,118.963508963509
183,Luxembourg,2022-01-01,0,103766.0,915.0,0.0,81641807865.7591,4.585,126.501046501047
184,Madagascar,2021-01-01,0,17714.0,261.0,17228.0,14554754116.5427,3.415,203.221994008737
185,Madagascar,2022-01-01,0,50279.0,1027.0,0.0,15302510500.0528,3.186,219.806108379759
186,Malawi,2021-01-01,0,6684.0,191.0,5708.0,12580922008.2096,5.585,496.827527221711
187,Malawi,2022-01-01,0,75828.0,2368.0,0.0,13129458325.7379,5.051,600.932616885901
188,Malaysia,2021-01-01,0,115078.0,474.0,91170.0,373832428055.449,4.64,123.05449091818
189,Malaysia,2022-01-01,0,2761472.0,31513.0,0.0,407027451714.616,3.93,127.212131311448
190,Maldives,2021-01-01,0,13804.0,48.0,13150.0,5254366312.27648,5.021,135.424149976868
191,Maldives,2022-01-01,0,95891.0,262.0,0.0,6170638746.31376,4.424,138.58378956189
192,Mali,2021-01-01,0,7203.0,271.0,4694.0,19309463508.0377,2.29,113.489249057224
193,Mali,2022-01-01,0,21378.0,668.0,0.0,18780322203.7584,3.09,124.408590014187
194,Malta,2021-01-01,0,12909.0,219.0,11178.0,18123718946.6006,3.403,115.887166319179
195,Malta,2022-01-01,0,53503.0,477.0,0.0,18357069272.7682,2.929,123.018580023951
196,Marshall Islands,2021-01-01,0,4.0,0.0,4.0,257784881.591797,2.929,123.018580023951
197,Marshall Islands,2022-01-01,0,4.0,0.0,0.0,258774475.097656,2.929,123.018580023951
198,Mauritania,2021-01-01,0,14581.0,349.0,11652.0,9222536364.01272,11.068,143.168520868821
199,Mauritania,2022-01-01,0,41867.0,870.0,0.0,9744039514.55646,10.602,156.80570371963
